1650977160000,9849
1651113240000,9701
1651149960000,9678
1651472940000,9623
1651630080000,9539
1651688820000,9335
1651754820000,9301
1651840980000,9274
1651927020000,9248
1652013420000,9258
1652100180000,9200
1652150040000,9207
1652273340000,9140
1652359680000,9103
1652445780000,9068
1652532300000,8995
1652618640000,8499
1652705220000,8484
1652791620000,8463
1652878080000,8468
1652964420000,8442
1653050700000,8457
1653136680000,8471
1653224843083,8449
1653304573183,8371
1653396531156,8339
1653482869285,8280
1653569181401,8262
1653655673204,8204
1653741547283,8215
1653827997478,8176
1653914823703,8155
1654001185632,8096
1654095478270,8106
1654174348402,8057
1654260088409,8064
1654346113659,7978
1654427038185,7897
1654773048342,7628
1654860601765,7500
1654946333105,7450
1655031772994,7392
1655118385123,7333
1655205287430,7288
1655378112816,7252
1655464563503,7202
1655550878783,7181
1655637279740,7108
1655723737452,7053
1655810741971,7009
1656155727636,6734
1656328632068,6673
1656414960852,6628
1656501420197,6616
1656587767021,6630
1657021442890,6476
1657106300257,6410
1657538124498,6265
1657624575628,6245
1657711006898,6211
1657797369718,6218
1657883745375,6163
1657970167054,6119
1658056507365,6138
1658142984266,6059
1658229361849,6042
1658404070587,6010
1658488626939,5933
1658574990343,5940
1658661345273,5917
1658747882570,5837
1658834193260,5827
1658920573737,5814
1659007033274,5786
1659093371059,5694
1659179841227,5684
1659266165362,5664
1659352629545,5670
1659438997257,5629
1659525410122,5622
1659611827413,5633
1659698197055,5595
1659784505919,5583
1659870969079,5606
1659957365997,5596
1660043766159,5581
1660130166341,5561
1660216609953,5564
1660302985889,5530
1660389330308,5517
1660475763531,5507
1660562172010,5453
1660648501843,5461
1660734975044,5421
1660821426637,5402
1660907811378,5339
1660994158547,5305
1661080560681,5248
1661167000888,5245
1661253404346,5236
1661339819563,5234
1661426292337,5225
1661512627404,5174
1661598973380,5068
1661685342238,5047
1661771869490,5050
1661858247631,5034
1661944621306,4992
1662031039402,4996
1662117466271,4955
1662203758360,4939
1662290152724,4929
1662376693005,4914
1662463054751,4919
1662549479422,4890
1662635891838,4846
1662722308262,4851
1662808657802,4809
1662895044839,4791
1662981522380,4781
1663067922315,4785
1663154319481,4765
1663327092725,4718
